omega,Re_G,Im_G
5.031257286977830923e+00,8.236178587695307252e-02,-2.812808934290208507e-01
5.107679012406628694e+00,7.884540987522342670e-02,-2.790903642740628632e-01
5.185261537171334645e+00,7.536736694737844466e-02,-2.768540432138872909e-01
5.264022493104921985e+00,7.192925687012204083e-02,-2.745716183696695345e-01
5.343979779857139789e+00,6.853287809344160708e-02,-2.722430591636909036e-01
5.425151568962483850e+00,6.518017966592644374e-02,-2.698686269513517755e-01
5.507556307969956322e+00,6.187321063495830609e-02,-2.674488750071064569e-01
5.591212724635568954e+00,5.861406843261446342e-02,-2.649846380598215312e-01
5.676139831178504735e+00,5.540484772182514839e-02,-2.624770119976642113e-01
5.762356928601948702e+00,5.224759110418022989e-02,-2.599273247378908192e-01
5.849883611079533807e+00,4.914424293606135807e-02,-2.573370996280012202e-01
5.938739770408422380e+00,4.609660738554889614e-02,-2.547080130315977353e-01
6.028945600530030369e+00,4.310631164860032755e-02,-2.520418480038864040e-01
6.120521602119409543e+00,4.017477504961784740e-02,-2.493404461296266084e-01
6.213488587244345496e+00,3.730318455743649592e-02,-2.466056596635504139e-01
6.307867684095219474e+00,3.449247700613794487e-02,-2.438393061225719860e-01
6.403680341786724739e+00,3.174332810974033608e-02,-2.410431273721078960e-01
6.500948335232507702e+00,2.905614815752629795e-02,-2.382187550657796637e-01
6.599693770093851164e+00,2.643108409531367067e-02,-2.353676840208286658e-01
6.699939087803533866e+00,2.386802751465521427e-02,-2.324912547801347151e-01
6.801707070665996113e+00,2.136662796053699284e-02,-2.295906462041784613e-01
6.905020847034958109e+00,1.892631083216964744e-02,-2.266668784723369634e-01
7.009903896569718462e+00,1.654629909787566980e-02,-2.237208264333232499e-01
7.116380055571256413e+00,1.422563796847150890e-02,-2.207532427255106955e-01
7.224473522399406988e+00,1.196322168971122174e-02,-2.177647896548462747e-01
7.334208862972310783e+00,9.757821598397648996e-03,-2.147560783661734418e-01
7.445611016349402256e+00,7.608114634851943607e-03,-2.117277134903447489e-01
7.558705300399197746e+00,5.512711573822261409e-03,-2.086803411325603985e-01
7.673517417553173736e+00,3.470184301474537464e-03,-2.056146978698099592e-01
7.790073460647047199e+00,1.479091569838294259e-03,-2.025316583129623538e-01
7.908399918850762766e+00,-4.619972440846418366e-04,-1.994322787855388746e-01
8.028523683688590040e+00,-2.354480738844215784e-03,-1.963178347914575905e-01
8.150472055150622452e+00,-4.199706695653553958e-03,-1.931898501488244491e-01
8.274272747897136071e+00,-5.998956061231342646e-03,-1.900501160207484219e-01
8.399953897557164595e+00,-7.753429752579428513e-03,-1.869006984415726991e-01
8.527544067122763138e+00,-9.464238265809049935e-03,-1.837439334831164062e-01
8.657072253440396992e+00,-1.113239400265624533e-02,-1.805824096912853616e-01
8.788567893800919961e+00,-1.275880614862419035e-02,-1.774189380414540607e-01
8.922060872629641537e+00,-1.434427794238269521e-02,-1.742565102150961664e-01
9.057581528278058514e+00,-1.588950609026086244e-02,-1.710982465564168109e-01
9.195160659918688140e+00,-1.739508213315368521e-02,-1.679473355924137878e-01
9.334829534544672569e+00,-1.886149551908700497e-02,-1.648069674238957505e-01
9.476619894075680506e+00,-2.028913817070917419e-02,-1.616802636321523767e-01
9.620563962571756278e+00,-2.167831035981760898e-02,-1.585702065823268447e-01
