omega,Re_G_fit,Im_G_fit
1.1553861556e+01,-3.5002667960e-02,-1.2226052914e-01
1.1728887536e+01,-3.5966606380e-02,-1.1950566659e-01
1.1906564932e+01,-3.6914689358e-02,-1.1677485572e-01
1.2086933909e+01,-3.7824428812e-02,-1.1408498388e-01
1.2270035242e+01,-3.8672894346e-02,-1.1145171672e-01
1.2455910322e+01,-3.9442196407e-02,-1.0888671215e-01
1.2644601168e+01,-4.0124345202e-02,-1.0639477170e-01
1.2836150435e+01,-4.0724250614e-02,-1.0397159812e-01
1.3030601424e+01,-4.1259909421e-02,-1.0160284815e-01
1.3227998093e+01,-4.1759334249e-02,-9.9264974672e-02
1.3428385065e+01,-4.2254456063e-02,-9.6927993286e-02
1.3631807638e+01,-4.2772994174e-02,-9.4559899832e-02
1.3838311800e+01,-4.3329997733e-02,-9.2132113968e-02
1.4047944231e+01,-4.3921215315e-02,-8.9625064067e-02
1.4260752320e+01,-4.4520411223e-02,-8.7032833935e-02
1.4476784176e+01,-4.5082061683e-02,-8.4365670985e-02
1.4696088633e+01,-4.5549581102e-02,-8.1649240677e-02
1.4918715267e+01,-4.5867672989e-02,-7.8920019254e-02
1.5144714406e+01,-4.5996090684e-02,-7.6217241734e-02
1.5374137137e+01,-4.5921505342e-02,-7.3573117503e-02
1.5607035325e+01,-4.5664483220e-02,-7.1003999636e-02
1.5843461618e+01,-4.5279566727e-02,-6.8505233118e-02
1.6083469461e+01,-4.4847760974e-02,-6.6051335364e-02
1.6327113111e+01,-4.4462107937e-02,-6.3601466678e-02
1.6574447646e+01,-4.4208456110e-02,-6.1108723133e-02
1.6825528977e+01,-4.4144969718e-02,-5.8531304140e-02
1.7080413864e+01,-4.4285052867e-02,-5.5843958257e-02
1.7339159926e+01,-4.4588576970e-02,-5.3048404672e-02
1.7601825654e+01,-4.4964977131e-02,-5.0180775049e-02
1.7868470426e+01,-4.5288770357e-02,-4.7312689997e-02
1.8139154520e+01,-4.5424118448e-02,-4.4541941925e-02
1.8413939126e+01,-4.5252000103e-02,-4.1970800438e-02
1.8692886361e+01,-4.4693282107e-02,-3.9675029667e-02
1.8976059284e+01,-4.3723735786e-02,-3.7672612112e-02
1.9263521909e+01,-4.2380405288e-02,-3.5904289343e-02
1.9555339219e+01,-4.0759356568e-02,-3.4235699175e-02
1.9851577182e+01,-3.9002256089e-02,-3.2483243476e-02
2.0152302765e+01,-3.7267619379e-02,-3.0456279573e-02
2.0457583949e+01,-3.5687211650e-02,-2.8002444174e-02
2.0767489746e+01,-3.4319073541e-02,-2.5045087970e-02
2.1082090214e+01,-3.3118795598e-02,-2.1609474806e-02
2.1401456469e+01,-3.1950477910e-02,-1.7838368119e-02
2.1725660707e+01,-3.0643383676e-02,-1.3991635548e-02
2.2054776219e+01,-2.9073453727e-02,-1.0416335751e-02
2.2388877402e+01,-2.7225399557e-02,-7.4804820182e-03
