omega,Re_G,Im_G
1.673942075796692519e+00,3.950552615716267923e-01,-3.068401734279614379e-01
1.699368233594535482e+00,4.198467330630601402e-01,-2.950619190599554909e-01
1.725180599200705656e+00,4.141656392641014373e-01,-2.982422882664578223e-01
1.751385038875941991e+00,4.084845454651426788e-01,-3.014226574729601538e-01
1.777987507985899995e+00,4.028034516661839759e-01,-3.046030266794624852e-01
1.804994052354603307e+00,3.971223578672252175e-01,-3.077833958859648167e-01
1.832410809638449489e+00,3.849997794510667815e-01,-3.128785846487447397e-01
1.860244010721088914e+00,3.780416634797015840e-01,-3.145817689589274213e-01
1.888499981129488470e+00,3.710835475083364976e-01,-3.162849532691101029e-01
1.917185142471506953e+00,3.641254315369713557e-01,-3.179881375792927845e-01
1.946306013895304332e+00,3.571673155656062693e-01,-3.196913218894754660e-01
1.975869213570920380e+00,3.862510807045420602e-01,-3.222501835155823224e-01
2.005881460194354204e+00,3.780205496792379827e-01,-3.225032355633565828e-01
2.036349574514495941e+00,3.697900186539339606e-01,-3.227562876111308987e-01
2.067280480883244564e+00,3.615594876286298276e-01,-3.230093396589052146e-01
2.098681208829174416e+00,3.533289566033258056e-01,-3.232623917066794750e-01
2.130558894655107949e+00,2.578882642055091434e-01,-3.556463871992475712e-01
2.162920783059947283e+00,3.741909352389388710e-02,-4.279707850078331433e-01
2.195774228785147830e+00,-1.830500771577270314e-01,-5.002951828164204917e-01
2.229126698286194586e+00,-4.035192478393460069e-01,-5.726195806250072851e-01
2.262985771429471438e+00,-6.239884185209632061e-01,-6.449439784335935233e-01
2.297359143214903643e+00,3.251209572558495520e-01,-3.152663507841708679e-01
2.332254625524766922e+00,3.145046901828493779e-01,-3.184720584230298912e-01
2.367680148899056203e+00,3.038884231098493149e-01,-3.216777660618889145e-01
2.403643764337825228e+00,2.932721560368493074e-01,-3.248834737007479379e-01
2.440153645130902493e+00,2.826558889638493555e-01,-3.280891813396069057e-01
2.477218088715397837e+00,3.073441473005841251e-01,-3.287225443747295861e-01
2.514845518561422466e+00,3.014012012838868659e-01,-3.301610908918142240e-01
2.553044486086453180e+00,2.954582552671897178e-01,-3.315996374088988619e-01
2.591823672598776884e+00,2.895153092504925141e-01,-3.330381839259834997e-01
2.631191891270451055e+00,2.835723632337953659e-01,-3.344767304430680821e-01
2.671158089140234448e+00,-7.713511990226321613e-01,-9.353781932214583206e-01
2.711731349146940584e+00,-5.601797894177000803e-01,-8.102523290707972503e-01
2.752920892193674085e+00,-3.490083798127734949e-01,-6.851264649201393997e-01
2.794736079243429483e+00,-1.378369702078433567e-01,-5.600006007694793286e-01
2.837186413446509903e+00,7.333443939708694792e-02,-4.348747366188193686e-01
2.880281542300268782e+00,2.518061688145821764e-01,-3.348547770853556038e-01
2.924031259841651131e+00,2.475918394905151088e-01,-3.320495802958535747e-01
2.968445508873042371e+00,2.433775101664480967e-01,-3.292443835063516011e-01
3.013534383221923907e+00,2.391631808423810290e-01,-3.264391867168496275e-01
3.059308130034852802e+00,2.349488515183139059e-01,-3.236339899273475429e-01
3.105777152106281136e+00,2.316589987585696009e-01,-3.367295269041347683e-01
3.152952010242758174e+00,2.278879655066453347e-01,-3.358825831999990297e-01
3.200843425663033592e+00,2.241169322547210685e-01,-3.350356394958633466e-01
3.249462282434623095e+00,2.203458990027967468e-01,-3.341886957917276080e-01
3.298819629947378651e+00,2.165748657508724806e-01,-3.333417520875919249e-01
