omega,Re_G,Im_G
6.317324158204630224e-01,5.677404112900842348e-01,-1.485912586761257981e-01
6.318274692356286026e-01,5.677301979169480095e-01,-1.486133576274037416e-01
6.319225369529759551e-01,5.677199785256747955e-01,-1.486354561129664686e-01
6.320176189746568030e-01,5.677097531297670141e-01,-1.486575541352339325e-01
6.321127153028235357e-01,5.676995217426092921e-01,-1.486796516966471249e-01
6.322078259396287647e-01,5.676892843776437658e-01,-1.487017487996075416e-01
6.323029508872254345e-01,5.676790410481002969e-01,-1.487238454465223958e-01
6.323980901477668226e-01,5.676687917675580231e-01,-1.487459416398023981e-01
6.324932437234064286e-01,5.676585365492523572e-01,-1.487680373818531521e-01
6.325884116162983073e-01,5.676482754064794412e-01,-1.487901326750641351e-01
6.326835938285966243e-01,5.676380083526783027e-01,-1.488122275218382584e-01
6.327787903624559895e-01,5.676277354010540455e-01,-1.488343219246052174e-01
6.328740012200312348e-01,5.676174565648861581e-01,-1.488564158857348108e-01
6.329692264034776361e-01,5.676071718576185532e-01,-1.488785094076150173e-01
6.330644659149506914e-01,5.675968812921949880e-01,-1.489006024926552985e-01
6.331597197566063429e-01,5.675865848820199622e-01,-1.489226951432303103e-01
6.332549879306005325e-01,5.675762826403529804e-01,-1.489447873617431584e-01
6.333502704390900906e-01,5.675659745803438572e-01,-1.489668791505439627e-01
6.334455672842316254e-01,5.675556607151726052e-01,-1.489889705120357455e-01
6.335408784681824113e-01,5.675453410580555413e-01,-1.490110614485930518e-01
6.336362039930998336e-01,5.675350156221085074e-01,-1.490331519626210410e-01
6.337315438611418328e-01,5.675246844204370200e-01,-1.490552420564183467e-01
6.338268980744664605e-01,5.675143474661495935e-01,-1.490773317324652347e-01
6.339222666352322122e-01,5.675040047724675407e-01,-1.490994209930497916e-01
6.340176495455978056e-01,5.674936563524024535e-01,-1.491215098405685446e-01
6.341130468077224025e-01,5.674833022190249876e-01,-1.491435982773627600e-01
6.342084584237653866e-01,5.674729423853114296e-01,-1.491656863058297422e-01
6.343038843958865858e-01,5.674625768644500079e-01,-1.491877739283092030e-01
6.343993247262460500e-01,5.674522056693306338e-01,-1.492098611471686931e-01
6.344947794170041622e-01,5.674418288130613774e-01,-1.492319479647364333e-01
6.345902484703217494e-01,5.674314463085381455e-01,-1.492540343834316552e-01
6.346857318883597499e-01,5.674210581688796662e-01,-1.492761204055181867e-01
6.347812296732795456e-01,5.674106644068120930e-01,-1.492982060333857275e-01
6.348767418272429630e-01,5.674002650354430521e-01,-1.493202912694158724e-01
6.349722683524119393e-01,5.673898600676795523e-01,-1.493423761158787777e-01
6.350678092509489669e-01,5.673794495164349305e-01,-1.493644605751778265e-01
6.351633645250165383e-01,5.673690333945210496e-01,-1.493865446496077942e-01
6.352589341767777009e-01,5.673586117148696761e-01,-1.494086283415096694e-01
6.353545182083958354e-01,5.673481844902923399e-01,-1.494307116532665736e-01
6.354501166220346553e-01,5.673377517336739562e-01,-1.494527945871511054e-01
6.355457294198580964e-01,5.673273134577933030e-01,-1.494748771455179648e-01
6.356413566040305385e-01,5.673168696754540274e-01,-1.494969593307031441e-01
6.357369981767164724e-01,5.673064203995109578e-01,-1.495190411450149359e-01
6.358326541400809440e-01,5.672959656426731501e-01,-1.495411225907441743e-01
6.359283244962892212e-01,5.672855054177282641e-01,-1.495632036702776446e-01
6.360240092475070162e-01,5.672750397374410891e-01,-1.495852843858882231e-01
6.361197083959001519e-01,5.672645686145261212e-01,-1.496073647399318030e-01
6.362154219436348956e-01,5.672540920615826154e-01,-1.496294447346657452e-01
6.363111498928778476e-01,5.672436100914585166e-01,-1.496515243723940958e-01
6.364068922457959410e-01,5.672331227166457213e-01,-1.496736036554865701e-01
6.365026490045565533e-01,5.672226299500261470e-01,-1.496956825861839868e-01
6.365984201713270618e-01,5.672121318040564963e-01,-1.497177611668442376e-01
6.366942057482755102e-01,5.672016282913834306e-01,-1.497398393997327881e-01
6.367900057375699419e-01,5.671911194247543087e-01,-1.497619172871435811e-01
6.368858201413790665e-01,5.671806052165380141e-01,-1.497839948313935410e-01
6.369816489618717048e-01,5.671700856794877899e-01,-1.498060720347495489e-01
6.370774922012170105e-01,5.671595608261541521e-01,-1.498281488995311661e-01
6.371733498615845814e-01,5.671490306689085381e-01,-1.498502254280282553e-01
6.372692219451443485e-01,5.671384952204475693e-01,-1.498723016224850768e-01
6.373651084540662426e-01,5.671279544932247285e-01,-1.498943774851868305e-01
6.374610093905209718e-01,5.671174084996829512e-01,-1.499164530184898259e-01
6.375569247566793551e-01,5.671068572523590978e-01,-1.499385282245814244e-01
6.376528545547125448e-01,5.670963007636271591e-01,-1.499606031057757471e-01
6.377487987867920260e-01,5.670857390460463110e-01,-1.499826776643292392e-01
6.378447574550893950e-01,5.670751721119297040e-01,-1.500047519025565768e-01
6.379407305617772472e-01,5.670645999737787823e-01,-1.500268258226793161e-01
6.380367181090276230e-01,5.670540226438833820e-01,-1.500488994269570664e-01
6.381327200990134507e-01,5.670434401347002051e-01,-1.500709727177114150e-01
6.382287365339079921e-01,5.670328524585486196e-01,-1.500930456971350246e-01
6.383247674158846197e-01,5.670222596276870419e-01,-1.501151183675132339e-01
6.384208127471170391e-01,5.670116616546245769e-01,-1.501371907311319087e-01
6.385168725297792891e-01,5.670010585515008472e-01,-1.501592627902065824e-01
6.386129467660459635e-01,5.669904503306575361e-01,-1.501813345469930339e-01
6.387090354580918783e-01,5.669798370043462876e-01,-1.502034060037541197e-01
6.388051386080918492e-01,5.669692185849540822e-01,-1.502254771627153929e-01
6.389012562182214694e-01,5.669585950845089650e-01,-1.502475480261333263e-01
6.389973882906565539e-01,5.669479665153848158e-01,-1.502696185962482944e-01
6.390935348275729178e-01,5.669373328896828435e-01,-1.502916888752908464e-01
6.391896958311471533e-01,5.669266942197116466e-01,-1.503137588654920864e-01
6.392858713035558527e-01,5.669160505174872799e-01,-1.503358285691359375e-01
6.393820612469762743e-01,5.669054017953104596e-01,-1.503578979883737621e-01
6.394782656635855655e-01,5.668947480653002691e-01,-1.503799671255035553e-01
6.395744845555615399e-01,5.668840893395090674e-01,-1.504020359826920838e-01
6.396707179250822328e-01,5.668734256300070884e-01,-1.504241045622003170e-01
6.397669657743259020e-01,5.668627569489884666e-01,-1.504461728662269127e-01
6.398632281054713600e-01,5.668520833084389476e-01,-1.504682408970175189e-01
6.399595049206976416e-01,5.668414047203917949e-01,-1.504903086567807857e-01
6.400557962221838926e-01,5.668307211970877724e-01,-1.505123761477224487e-01
6.401521020121100358e-01,5.668200327503374325e-01,-1.505344433720325614e-01
6.402484222926558832e-01,5.668093393920873302e-01,-1.505565103319717046e-01
6.403447570660018018e-01,5.667986411344979603e-01,-1.505785770297034809e-01
6.404411063343286026e-01,5.667879379895902625e-01,-1.506006434674403982e-01
