omega,Re_G,Im_G
 1.13014304e+00, 5.07810204e-01,-2.36135417e-01
 1.13440394e+00, 5.07175652e-01,-2.36763989e-01
 1.13868090e+00, 5.06537299e-01,-2.37392102e-01
 1.14297399e+00, 5.05895122e-01,-2.38019739e-01
 1.14728326e+00, 5.05249104e-01,-2.38646883e-01
 1.15160879e+00, 5.04599223e-01,-2.39273516e-01
 1.15595062e+00, 5.03945463e-01,-2.39899623e-01
 1.16030881e+00, 5.03287805e-01,-2.40525186e-01
 1.16468345e+00, 5.02626233e-01,-2.41150189e-01
 1.16907457e+00, 5.01960731e-01,-2.41774615e-01
 1.17348225e+00, 5.01291283e-01,-2.42398447e-01
 1.17790655e+00, 5.00617876e-01,-2.43021670e-01
 1.18234753e+00, 4.99940495e-01,-2.43644267e-01
 1.18680525e+00, 4.99259129e-01,-2.44266221e-01
 1.19127978e+00, 4.98573765e-01,-2.44887517e-01
 1.19577118e+00, 4.97884393e-01,-2.45508138e-01
 1.20027951e+00, 4.97191002e-01,-2.46128069e-01
 1.20480484e+00, 4.96493582e-01,-2.46747294e-01
 1.20934723e+00, 4.95792127e-01,-2.47365797e-01
 1.21390675e+00, 4.95086628e-01,-2.47983561e-01
 1.21848345e+00, 4.94377078e-01,-2.48600573e-01
 1.22307742e+00, 4.93663472e-01,-2.49216815e-01
 1.22768870e+00, 4.92945805e-01,-2.49832273e-01
 1.23231737e+00, 4.92224072e-01,-2.50446930e-01
 1.23696349e+00, 4.91498271e-01,-2.51060772e-01
 1.24162712e+00, 4.90768399e-01,-2.51673783e-01
 1.24630834e+00, 4.90034455e-01,-2.52285949e-01
 1.25100721e+00, 4.89296438e-01,-2.52897253e-01
 1.25572380e+00, 4.88554348e-01,-2.53507680e-01
 1.26045816e+00, 4.87808187e-01,-2.54117217e-01
 1.26521038e+00, 4.87057956e-01,-2.54725846e-01
 1.26998051e+00, 4.86303658e-01,-2.55333554e-01
 1.27476863e+00, 4.85545297e-01,-2.55940325e-01
 1.27957480e+00, 4.84782877e-01,-2.56546145e-01
 1.28439910e+00, 4.84016403e-01,-2.57150999e-01
 1.28924157e+00, 4.83245881e-01,-2.57754871e-01
 1.29410231e+00, 4.82471318e-01,-2.58357746e-01
 1.29898138e+00, 4.81692722e-01,-2.58959611e-01
 1.30387883e+00, 4.80910101e-01,-2.59560450e-01
 1.30879476e+00, 4.80123463e-01,-2.60160249e-01
 1.31372921e+00, 4.79332819e-01,-2.60758991e-01
 1.31868227e+00, 4.78538180e-01,-2.61356664e-01
 1.32365401e+00, 4.77739556e-01,-2.61953252e-01
 1.32864449e+00, 4.76936959e-01,-2.62548740e-01
 1.33365378e+00, 4.76130403e-01,-2.63143113e-01
 1.33868197e+00, 4.75319900e-01,-2.63736357e-01
 1.34372910e+00, 4.74505464e-01,-2.64328457e-01
 1.34879527e+00, 4.73687110e-01,-2.64919399e-01
 1.35388054e+00, 4.72864852e-01,-2.65509166e-01
 1.35898498e+00, 4.72038708e-01,-2.66097745e-01
 1.36410867e+00, 4.71208693e-01,-2.66685121e-01
 1.36925167e+00, 4.70374824e-01,-2.67271278e-01
 1.37441406e+00, 4.69537118e-01,-2.67856202e-01
 1.37959592e+00, 4.68695594e-01,-2.68439878e-01
 1.38479731e+00, 4.67850269e-01,-2.69022290e-01
 1.39001832e+00, 4.67001164e-01,-2.69603424e-01
 1.39525901e+00, 4.66148297e-01,-2.70183265e-01
 1.40051945e+00, 4.65291688e-01,-2.70761798e-01
 1.40579973e+00, 4.64431358e-01,-2.71339006e-01
 1.41109992e+00, 4.63567327e-01,-2.71914876e-01
 1.41642009e+00, 4.62699616e-01,-2.72489391e-01
 1.42176032e+00, 4.61828247e-01,-2.73062537e-01
 1.42712069e+00, 4.60953242e-01,-2.73634297e-01
 1.43250126e+00, 4.60074622e-01,-2.74204657e-01
 1.43790212e+00, 4.59192411e-01,-2.74773600e-01
 1.44332334e+00, 4.58306630e-01,-2.75341111e-01
 1.44876500e+00, 4.57417303e-01,-2.75907174e-01
 1.45422718e+00, 4.56524453e-01,-2.76471774e-01
 1.45970995e+00, 4.55628103e-01,-2.77034893e-01
 1.46521339e+00, 4.54728277e-01,-2.77596517e-01
 1.47073758e+00, 4.53824998e-01,-2.78156628e-01
 1.47628260e+00, 4.52918291e-01,-2.78715211e-01
 1.48184853e+00, 4.52008179e-01,-2.79272249e-01
 1.48743543e+00, 4.51094687e-01,-2.79827726e-01
 1.49304341e+00, 4.50177839e-01,-2.80381625e-01
 1.49867253e+00, 4.49257658e-01,-2.80933929e-01
 1.50432287e+00, 4.48334170e-01,-2.81484622e-01
 1.50999451e+00, 4.47407398e-01,-2.82033685e-01
 1.51568753e+00, 4.46477367e-01,-2.82581103e-01
 1.52140202e+00, 4.45544102e-01,-2.83126858e-01
 1.52713806e+00, 4.44607625e-01,-2.83670933e-01
 1.53289572e+00, 4.43667962e-01,-2.84213309e-01
 1.53867509e+00, 4.42725137e-01,-2.84753970e-01
 1.54447625e+00, 4.41779173e-01,-2.85292897e-01
 1.55029928e+00, 4.40830095e-01,-2.85830073e-01
 1.55614426e+00, 4.39877926e-01,-2.86365479e-01
 1.56201129e+00, 4.38922689e-01,-2.86899097e-01
 1.56790043e+00, 4.37964409e-01,-2.87430909e-01
 1.57381177e+00, 4.37003107e-01,-2.87960895e-01
 1.57974541e+00, 4.36038808e-01,-2.88489038e-01
 1.58570141e+00, 4.35071534e-01,-2.89015318e-01
 1.59167987e+00, 4.34101308e-01,-2.89539717e-01
 1.59768087e+00, 4.33128151e-01,-2.90062214e-01
 1.60370449e+00, 4.32152086e-01,-2.90582791e-01
 1.60975082e+00, 4.31173134e-01,-2.91101428e-01
 1.61581996e+00, 4.30191317e-01,-2.91618106e-01
 1.62191197e+00, 4.29206656e-01,-2.92132803e-01
 1.62802695e+00, 4.28219171e-01,-2.92645501e-01
 1.63416498e+00, 4.27228882e-01,-2.93156179e-01
 1.64032616e+00, 4.26235811e-01,-2.93664816e-01
 1.64651057e+00, 4.25239976e-01,-2.94171393e-01
 1.65271829e+00, 4.24241396e-01,-2.94675887e-01
 1.65894942e+00, 4.23240091e-01,-2.95178278e-01
 1.66520404e+00, 4.22236079e-01,-2.95678545e-01
 1.67148224e+00, 4.21229378e-01,-2.96176667e-01
 1.67778412e+00, 4.20220006e-01,-2.96672622e-01
 1.68410975e+00, 4.19207979e-01,-2.97166388e-01
 1.69045923e+00, 4.18193315e-01,-2.97657944e-01
 1.69683265e+00, 4.17176030e-01,-2.98147267e-01
 1.70323010e+00, 4.16156139e-01,-2.98634335e-01
 1.70965167e+00, 4.15133658e-01,-2.99119126e-01
 1.71609745e+00, 4.14108602e-01,-2.99601617e-01
 1.72256753e+00, 4.13080986e-01,-3.00081785e-01
 1.72906200e+00, 4.12050823e-01,-3.00559608e-01
 1.73558096e+00, 4.11018127e-01,-3.01035063e-01
 1.74212450e+00, 4.09982911e-01,-3.01508125e-01
 1.74869271e+00, 4.08945187e-01,-3.01978772e-01
 1.75528569e+00, 4.07904968e-01,-3.02446980e-01
 1.76190352e+00, 4.06862265e-01,-3.02912724e-01
 1.76854630e+00, 4.05817090e-01,-3.03375982e-01
 1.77521412e+00, 4.04769452e-01,-3.03836729e-01
 1.78190709e+00, 4.03719363e-01,-3.04294941e-01
 1.78862529e+00, 4.02666831e-01,-3.04750592e-01
 1.79536882e+00, 4.01611867e-01,-3.05203660e-01
 1.80213777e+00, 4.00554478e-01,-3.05654118e-01
 1.80893224e+00, 3.99494674e-01,-3.06101941e-01
 1.81575233e+00, 3.98432461e-01,-3.06547106e-01
 1.82259814e+00, 3.97367848e-01,-3.06989586e-01
 1.82946975e+00, 3.96300841e-01,-3.07429356e-01
 1.83636727e+00, 3.95231447e-01,-3.07866391e-01
 1.84329080e+00, 3.94159672e-01,-3.08300664e-01
 1.85024043e+00, 3.93085522e-01,-3.08732151e-01
 1.85721626e+00, 3.92009001e-01,-3.09160824e-01
 1.86421839e+00, 3.90930114e-01,-3.09586659e-01
 1.87124693e+00, 3.89848867e-01,-3.10009629e-01
 1.87830196e+00, 3.88765262e-01,-3.10429707e-01
 1.88538359e+00, 3.87679305e-01,-3.10846868e-01
 1.89249192e+00, 3.86590997e-01,-3.11261084e-01
 1.89962705e+00, 3.85500342e-01,-3.11672329e-01
 1.90678908e+00, 3.84407343e-01,-3.12080577e-01
 1.91397811e+00, 3.83312001e-01,-3.12485800e-01
 1.92119425e+00, 3.82214320e-01,-3.12887971e-01
 1.92843759e+00, 3.81114299e-01,-3.13287064e-01
 1.93570824e+00, 3.80011942e-01,-3.13683052e-01
 1.94300631e+00, 3.78907249e-01,-3.14075906e-01
 1.95033189e+00, 3.77800220e-01,-3.14465601e-01
 1.95768509e+00, 3.76690857e-01,-3.14852109e-01
 1.96506601e+00, 3.75579160e-01,-3.15235402e-01
 1.97247476e+00, 3.74465129e-01,-3.15615454e-01
 1.97991145e+00, 3.73348764e-01,-3.15992236e-01
 1.98737617e+00, 3.72230065e-01,-3.16365721e-01
 1.99486903e+00, 3.71109032e-01,-3.16735881e-01
 2.00239015e+00, 3.69985664e-01,-3.17102690e-01
 2.00993962e+00, 3.68859962e-01,-3.17466120e-01
 2.01751755e+00, 3.67731923e-01,-3.17826142e-01
 2.02512406e+00, 3.66601548e-01,-3.18182730e-01
 2.03275924e+00, 3.65468836e-01,-3.18535855e-01
 2.04042321e+00, 3.64333785e-01,-3.18885491e-01
 2.04811607e+00, 3.63196396e-01,-3.19231610e-01
 2.05583794e+00, 3.62056668e-01,-3.19574184e-01
 2.06358892e+00, 3.60914599e-01,-3.19913186e-01
 2.07136913e+00, 3.59770189e-01,-3.20248588e-01
 2.07917867e+00, 3.58623438e-01,-3.20580362e-01
 2.08701765e+00, 3.57474345e-01,-3.20908483e-01
 2.09488618e+00, 3.56322909e-01,-3.21232921e-01
