omega,Re_G_variance,Im_G_variance
6.372692219451443485e-01,2.859774073384501290e-12,2.354899784412135855e-12
6.373651084540662426e-01,2.858903951081832409e-12,2.354332345330650936e-12
6.374610093905209718e-01,2.858043257970850177e-12,2.353773637856004779e-12
6.375569247566793551e-01,2.857191920193937426e-12,2.353223581114439104e-12
6.376528545547125448e-01,2.856349864554530004e-12,2.352682094837334393e-12
6.377487987867920260e-01,2.855517018034830901e-12,2.352149099263725360e-12
6.378447574550893950e-01,2.854693308298765542e-12,2.351624515143990144e-12
6.379407305617772472e-01,2.853878663397407346e-12,2.351108263754207628e-12
6.380367181090276230e-01,2.853073011662202356e-12,2.350600266894561643e-12
6.381327200990134507e-01,2.852276282043615289e-12,2.350100446919689370e-12
6.382287365339079921e-01,2.851488403863644607e-12,2.349608726582891884e-12
6.383247674158846197e-01,2.850709306861447911e-12,2.349125029263335793e-12
6.384208127471170391e-01,2.849938921227233726e-12,2.348649278778403599e-12
6.385168725297792891e-01,2.849177177495587921e-12,2.348181399477955529e-12
6.386129467660459635e-01,2.848424006731674565e-12,2.347721316179079612e-12
6.387090354580918783e-01,2.847679340284055137e-12,2.347268954207207964e-12
6.388051386080918492e-01,2.846943110216774072e-12,2.346824239442545531e-12
6.389012562182214694e-01,2.846215248523657946e-12,2.346387098169859263e-12
6.389973882906565539e-01,2.845495688098971535e-12,2.345957457151559193e-12
6.390935348275729178e-01,2.844784361916715707e-12,2.345535243695444855e-12
6.391896958311471533e-01,2.844081203462679039e-12,2.345120385557729666e-12
6.392858713035558527e-01,2.843386146698151735e-12,2.344712811016144227e-12
6.393820612469762743e-01,2.842699125859894529e-12,2.344312448751777928e-12
6.394782656635855655e-01,2.842020075716478647e-12,2.343919227964720258e-12
6.395744845555615399e-01,2.841348931356601078e-12,2.343533078314389495e-12
6.396707179250822328e-01,2.840685628164679917e-12,2.343153929886462043e-12
6.397669657743259020e-01,2.840030102158987467e-12,2.342781713303220666e-12
6.398632281054713600e-01,2.839382289592939890e-12,2.342416359616156316e-12
6.399595049206976416e-01,2.838742127000935860e-12,2.342057800299522747e-12
6.400557962221838926e-01,2.838109551629935621e-12,2.341705967350094981e-12
6.401521020121100358e-01,2.837484500772049019e-12,2.341360793137385399e-12
6.402484222926558832e-01,2.836866912301359162e-12,2.341022210551217932e-12
6.403447570660018018e-01,2.836256724392390201e-12,2.340690152873236779e-12
